Title	recipe link	recipe attachment	category	ease	rate	tried yet?	number of servings
Cherry Stuffed Pork Tenderloin	http://www.tasteofhome.com/recipes/cherry-stuffed-pork-loin		main course	Intermediate	4	TRUE	
Avocado Ranch Dressing		Avocado dressing to replace ranch.docx	condiments			FALSE	
Salmon Croquettes	http://www.foodnetwork.com/recipes/paula-deen/salmon-croquettes-recipe/index.html		main course	Intermediate	4	TRUE	
Chicken Carbonara	http://www.foodnetwork.com/recipes/giada-de-laurentiis/chicken-carbonara-recipe.html?soc=socialfnvideo_20160415_60521346&adbid=10153466228201727&adbpl=fb&adbpr=20534666726		main course	Easy	5	TRUE	
Crock Pot Chicken and Rice	http://forkinit.blogspot.com/2008/01/dinner-reality-check.html		main course	Easy	3	TRUE	
One Pot Sweedish Meatballs	https://www.buzzfeed.com/nickguillory/heres-a-quick-and-easy-swedish-meatball-pasta-dinner-that-yo?utm_term=.qteXXOpNM.xsv779keJ		main course	Intermediate	3	TRUE	6
One Pot Cajun Chicken and Sausage Alfredo	http://www.number-2-pencil.com/2015/10/15/one-pot-cajun-chicken-and-sausage-alfredo/		main course	Easy	4	TRUE	10
Spaghetti Carbonara	http://www.foodnetwork.com/recipes/tyler-florence/spaghetti-alla-carbonara-recipe.html		main course	Easy	5	TRUE	6
Stuffed Pesto Chicken Shells	http://picky-palate.com/2012/09/20/pesto-ranch-crock-pot-chicken-thighs/		main course	Intermediate	5	TRUE	8
Chicken or Sausage Tortellini	http://littlefellows.blogspot.com/2011/11/best-crockpot-meal-ive-tried-yet.html?m=1		main course	Easy	4	TRUE	4
Supper on a Bread Slice		Supper on a Bread Slice.jpg	main course	Intermediate	4	TRUE	
Cherry Pie Bites	http://www.thecountrycook.net/2013/08/cherry-pie-bites.html_a5y_p=2733623		dessert	Easy	4	TRUE	
cheddar risotto cakes	http://www.epicurious.com/recipes/food/views/fontina-risotto-cakes-with-fresh-chives-231263		side dish	Time Consuming	4	TRUE	10
Noodle Soup with Meatballs	http://corazoncontentoconley.com/recetas/caldo-albondigas-fideos/		main course	Intermediate	3	TRUE	
Pulled Chicken Tacos	http://allrecipes.com/recipe/241534/slow-cooker-pulled-chicken-tacos/		main course			FALSE	
Mongolian Beef	http://www.delish.com/cooking/recipe-ideas/recipes/a47232/mongolian-beef-recipe/		main course	Easy	5	TRUE	6
Chicken spinach and artichoke rigatoni	http://www.delish.com/cooking/recipe-ideas/recipes/a46527/chicken-spinach-and-artichoke-rigatoni-recipe/		main course	Easy	4	TRUE	6
Bobby's Goulash	http://www.foodnetwork.com/recipes/paula-deen/bobbys-goulash-recipe2.html		main course	Easy	5	TRUE	12
Cheddar Risotto	http://www.food.com/recipe/cheddar-cheese-risotto-284927		side dish	Intermediate	4	TRUE	8
Beer Braised Chicken	https://www.youtube.com/watch?v=r6Tny4FzZLE		main course	Easy	4	TRUE	6
Lemon Chicken	http://www.lecremedelacrumb.com/2016/04/easy-healthy-baked-lemon-chicken.html		main course	Easy	4	TRUE	6
Lemon Basil Bowtie Pasta	http://www.tasteofhome.com/recipes/lemon-basil-bow-ties		main course	Easy	4	TRUE	6
Tomato Pie	http://allrecipes.com/recipe/15807/tomato-pie-i/?event8=1&prop24=SR_Title&e11=tomato%20pie&e8=Quick%20Search&event10=1&e7=Home%20Page		main course	Intermediate	4	TRUE	6
Southern Green Beans			side dish	Intermediate	4	TRUE	
Steak - beef tenderloin			main course	Easy	5	TRUE	
No Peek Chicken and Rice Casserole	http://77easyrecipes.com/no-peek-chicken/		main course	Easy		TRUE	
Oreo Cheesecake Bites	http://getinmybelly.com/oreo-cheesecake-bites/		dessert	Easy	5	TRUE	24
Beef Stroganoff	http://allrecipes.com/recipe/16352/slow-cooker-beef-stroganoff-i/		main course	Easy		TRUE	
Ranch Chicken Roll Ups	https://www.pillsbury.com/recipes/ranch-chicken-rollup-bake/dc33ba58-797f-4b38-b952-d61ca4b4d9d6		main course	Intermediate	4	TRUE	4
Mozarella Sausage Stuffen Chicken	http://www.tlc.com/tlcme/7-chicken-dinner-winners/		main course	Time Consuming	5	TRUE	
Chicken Marsala Pasta	https://www.buzzfeed.com/mikeprice/make-an-amazing-chicken-marsala-pasta-dinner-using-only-one?bffbtasty&ref=bffbtasty&utm_term=.vvNzD3zjy.br09719Wz		main course			FALSE	6
Bow Tie Pasta Chorizo with Tomatoes	http://www.delish.com/cooking/recipe-ideas/recipes/a18119/bow-tie-pasta-chorizo-tomatoes-121351/		main course	Easy	3	TRUE	8
